timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
85972000,85972000,1310988,1310988,-0.00028549088,-1.2783403e-05,-9.587432e-06,-0.00064643443,-0.0019440913,-0.03962404,4000,4000,0,0,0
86472000,86472000,1310988,1310988,-0.00063170184,-3.089278e-05,-3.19553e-06,-0.0007517794,-0.0024803923,-0.039092526,4000,4000,0,0,0
86972000,86972000,1310988,1310988,-0.00076272944,-2.1304886e-05,1.0659901e-06,-0.00062249246,-0.0026815056,-0.039020706,4000,4000,0,0,0
87472000,87472000,1310988,1310988,-0.0007520768,-3.515373e-05,5.3260073e-06,-0.00072783744,-0.0021739348,-0.039149992,4000,4000,0,0,0
87972000,87972000,1310988,1310988,-0.0005326322,-5.7523994e-05,-1.8109558e-05,-0.000746991,-0.0011109089,-0.039542638,4000,4000,0,0,0
88472000,88472000,1310988,1310988,-0.00020240029,-2.8761964e-05,-2.130481e-06,-0.00073741423,6.2249936e-05,-0.039743755,4000,4000,0,0,0
88972000,88972000,1310988,1310988,0.00016511594,-4.9002258e-05,-8.522337e-06,-0.0008714895,0.0015179247,-0.0395187,4000,4000,0,0,0
89472000,89472000,1310988,1310988,0.0005326322,-2.1305148e-05,-1.3654648e-10,-0.0007900865,0.0021691478,-0.039068587,4000,4000,0,0,0
89972000,89972000,1310988,1310988,0.00078510004,-1.597876e-05,-5.3263207e-06,-0.0008523358,0.0025665849,-0.039164353,4000,4000,0,0,0
90472000,90472000,1310988,1310988,0.00078296947,-1.7043543e-05,4.2606225e-06,-0.00072783744,0.002370261,-0.03892972,4000,4000,0,0,0
90972000,90972000,1310988,1310988,0.00063915877,-9.58755e-06,-1.0653317e-06,-0.0007805097,0.0011779482,-0.039398983,4000,4000,0,0,0
91472000,91472000,1310988,1310988,0.00031212252,-9.58727e-06,-2.130501e-06,-0.0007996635,0.00015801801,-0.03995444,4000,4000,0,0,0
91972000,91972000,1310988,1310988,-8.3090636e-05,-1.8109502e-05,7.4567715e-06,-0.0009672576,-0.0010917553,-0.03948997,4000,4000,0,0,0
92472000,92472000,1310988,1310988,-0.00044954164,-2.7696478e-05,7.457176e-06,-0.0007852982,-0.002202665,-0.039394196,4000,4000,0,0,0
92972000,92972000,1310988,1310988,-0.0007190536,-3.195787e-05,-1.4808044e-10,-0.0008714895,-0.002686294,-0.0391452,4000,4000,0,0,0
93472000,93472000,1310988,1310988,-0.0008159927,-2.982748e-05,-6.3918083e-06,-0.0008092403,-0.0023127983,-0.038968027,4000,4000,0,0,0
93972000,93972000,1310988,1310988,-0.00072224945,-2.8761951e-05,-1.0653525e-06,-0.00090500835,-0.0018148043,-0.03937026,4000,4000,0,0,0
94472000,94472000,1310988,1310988,-0.0004207795,-1.9174424e-05,-3.1959466e-06,-0.00077093294,-0.00044053246,-0.039815575,4000,4000,0,0,0
