timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
225776000,0,0,0,0,1,1,0,1,0,1,0
226776000,0,0,0,0,1,1,0,1,0,1,0
227712000,0,0,0,0,0,1,0,1,1,1,0
228712000,0,0,0,0,0,1,0,1,1,1,0
228832000,0,0,0,0,1,1,0,1,0,1,0
229832000,0,0,0,0,1,1,0,1,0,1,0
230832000,0,0,0,0,1,1,0,0,0,1,0
231696000,0,1,0,0,1,1,1,0,0,1,0
232048000,0,1,1,0,1,1,1,0,0,1,0
232384000,0,1,1,1,1,1,1,0,0,1,1
233384000,0,1,1,1,1,1,1,0,0,1,1
234384000,0,1,1,1,1,1,1,0,0,1,1
235384000,0,1,1,1,1,1,1,0,0,1,1
