timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
143372000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
143876000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
144380000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
144884000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
145388000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
145892000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
146396000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
146900000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
147404000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
147908000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
148412000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
148916000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
149420000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
149924000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
150428000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
150932000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
151436000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
151940000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
152444000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
152948000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
153456000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
153960000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
154464000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
154968000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
155472000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
155976000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
156480000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
